,Reaction Type,Datetime,Content Type,Content ID,Category,Sentiment,Score,,,,
7654,super love,18-03-2021 09:26,GIF,4898f7e1-1431-4e9c-a444-dbea02d58f85,food,positive,75,,,,
7655,hate,06-05-2021 01:34,GIF,4898f7e1-1431-4e9c-a444-dbea02d58f85,food,negative,5,,,,
7656,intrigued,01-11-2020 23:23,GIF,4898f7e1-1431-4e9c-a444-dbea02d58f85,food,positive,45,,,,
7657,worried,28-06-2020 15:26,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,12,,,,
7658,interested,11-05-2021 03:32,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,30,,,,
7659,want,29-03-2021 19:19,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,70,,,,
7660,love,06-06-2021 12:03,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,65,,,,
7661,indifferent,31-08-2020 11:48,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,neutral,20,,,,
7662,scared,21-10-2020 13:20,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,15,,,,
7663,cherish,26-09-2020 01:39,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,70,,,,
7664,intrigued,02-01-2021 18:34,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,45,,,,
7665,scared,23-01-2021 14:17,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,15,,,,
7666,cherish,17-10-2020 21:03,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,70,,,,
7667,want,27-01-2021 13:29,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,70,,,,
7668,want,18-06-2020 16:46,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,70,,,,
7669,scared,11-10-2020 21:49,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,15,,,,
7670,worried,18-10-2020 09:08,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,12,,,,
7671,adore,23-05-2021 20:07,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,72,,,,
7672,dislike,21-09-2020 07:20,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,10,,,,
7673,intrigued,13-07-2020 14:59,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,45,,,,
7674,disgust,11-09-2020 14:39,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,0,,,,
7675,interested,15-01-2021 01:08,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,30,,,,
7676,indifferent,04-11-2020 12:40,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,neutral,20,,,,
7677,indifferent,30-10-2020 13:21,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,neutral,20,,,,
7678,intrigued,10-11-2020 15:43,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,45,,,,
7679,indifferent,10-11-2020 02:05,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,neutral,20,,,,
7680,heart,01-04-2021 16:18,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,60,,,,
7681,want,31-05-2021 02:06,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,70,,,,
7682,disgust,16-09-2020 22:47,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,0,,,,
7683,adore,29-07-2020 00:21,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,72,,,,
7684,adore,04-06-2021 03:07,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,72,,,,
7685,cherish,18-12-2020 09:14,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,70,,,,
7686,love,20-04-2021 17:17,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,65,,,,
7687,peeking,31-01-2021 05:25,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,neutral,35,,,,
7688,super love,06-07-2020 21:20,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,75,,,,
7689,hate,10-08-2020 22:13,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,5,,,,
7690,adore,16-07-2020 18:51,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,72,,,,
7691,worried,20-10-2020 20:35,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,12,,,,
7692,interested,24-05-2021 10:03,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,30,,,,
7693,scared,18-03-2021 11:23,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,negative,15,,,,
7694,want,04-01-2021 20:20,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,70,,,,
7695,indifferent,27-02-2021 19:34,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,neutral,20,,,,
7696,interested,06-04-2021 11:07,video,8ea001b0-f13b-420f-b0f2-0cc35bdcd152,studying,positive,30,,,,
7697,disgust,11-06-2021 17:51,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,negative,0,,,,
7698,indifferent,29-05-2021 10:26,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,neutral,20,,,,
7699,hate,24-03-2021 01:26,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,negative,5,,,,
7700,cherish,22-07-2020 06:08,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,70,,,,
7701,want,14-04-2021 20:44,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,70,,,,
7702,indifferent,04-09-2020 16:06,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,neutral,20,,,,
7703,heart,30-05-2021 19:11,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,60,,,,
7704,hate,02-03-2021 01:02,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,negative,5,,,,
7705,want,03-10-2020 16:32,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,70,,,,
7706,intrigued,28-11-2020 07:04,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,45,,,,
7707,intrigued,07-10-2020 19:45,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,45,,,,
7708,peeking,02-12-2020 11:57,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,neutral,35,,,,
7709,want,27-10-2020 00:53,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,70,,,,
7710,super love,10-01-2021 23:34,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,75,,,,
7711,dislike,11-03-2021 18:11,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,negative,10,,,,
7712,cherish,24-08-2020 10:05,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,70,,,,
7713,intrigued,19-11-2020 18:21,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,45,,,,
7714,super love,29-06-2020 05:00,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,75,,,,
7715,want,14-01-2021 03:15,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,70,,,,
7716,cherish,04-02-2021 23:04,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,70,,,,
7717,want,23-12-2020 16:17,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,70,,,,
7718,adore,09-07-2020 17:57,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,72,,,,
7719,like,07-06-2021 04:35,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,50,,,,
7720,like,09-08-2020 22:56,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,50,,,,
7721,cherish,06-05-2021 11:26,GIF,42afb980-6f27-40d3-962e-bff8eada090f,culture,positive,70,,,,
7722,want,03-06-2021 10:39,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,70,,,,
7723,adore,22-06-2020 13:37,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,72,,,,
7724,hate,26-06-2020 14:51,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,5,,,,
7725,dislike,31-03-2021 16:33,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,10,,,,
7726,heart,21-06-2020 06:28,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,60,,,,
7727,indifferent,22-02-2021 02:36,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,neutral,20,,,,
7728,want,15-04-2021 14:04,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,70,,,,
7729,love,27-03-2021 07:11,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,65,,,,
7730,intrigued,08-09-2020 01:34,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,45,,,,
7731,dislike,20-10-2020 10:37,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,10,,,,
7732,hate,18-06-2020 12:45,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,5,,,,
7733,adore,22-08-2020 04:22,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,72,,,,
7734,interested,08-04-2021 01:18,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,30,,,,
7735,disgust,22-01-2021 04:27,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,0,,,,
7736,interested,16-09-2020 12:13,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,30,,,,
7737,worried,22-10-2020 05:43,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,12,,,,
7738,love,16-06-2021 17:46,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,65,,,,
7739,dislike,30-06-2020 10:40,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,10,,,,
7740,disgust,08-01-2021 03:37,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,0,,,,
7741,cherish,08-12-2020 21:11,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,70,,,,
7742,hate,07-05-2021 09:44,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,5,,,,
7743,worried,20-11-2020 18:18,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,12,,,,
7744,like,19-11-2020 01:12,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,50,,,,
7745,intrigued,20-09-2020 13:37,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,45,,,,
7746,want,30-07-2020 02:28,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,70,,,,
7747,love,14-05-2021 02:30,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,65,,,,
7748,super love,16-05-2021 02:36,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,75,,,,
7749,super love,02-11-2020 12:47,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,75,,,,
7750,cherish,19-11-2020 18:41,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,70,,,,
7751,love,03-01-2021 14:52,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,65,,,,
7752,indifferent,03-01-2021 01:37,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,neutral,20,,,,
7753,hate,24-06-2020 23:09,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,5,,,,
7754,super love,15-04-2021 23:21,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,75,,,,
7755,disgust,23-07-2020 05:40,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,0,,,,
7756,intrigued,28-04-2021 10:35,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,45,,,,
7757,indifferent,13-10-2020 23:32,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,neutral,20,,,,
7758,love,26-12-2020 08:44,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,65,,,,
7759,peeking,25-02-2021 07:01,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,neutral,35,,,,
7760,scared,29-11-2020 03:24,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,15,,,,
7761,like,03-12-2020 02:25,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,50,,,,
7762,peeking,22-12-2020 03:36,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,neutral,35,,,,
7763,adore,02-01-2021 13:43,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,72,,,,
7764,like,01-09-2020 14:36,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,positive,50,,,,
7765,worried,05-10-2020 22:54,GIF,70a9e79f-ca7b-48e1-b521-c1d16cb2e36d,education,negative,12,,,,
7766,like,01-04-2021 18:58,GIF,7dfe344f-172b-4d1d-a9a5-d63e7a097642,culture,positive,50,,,,
7767,adore,25-08-2020 01:30,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,72,,,,
7768,scared,29-08-2020 04:58,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,15,,,,
7769,cherish,22-05-2021 08:23,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,70,,,,
7770,hate,21-01-2021 03:35,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,5,,,,
7771,hate,29-07-2020 06:02,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,5,,,,
7772,indifferent,04-08-2020 05:36,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,neutral,20,,,,
7773,dislike,14-08-2020 21:21,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,10,,,,
7774,dislike,29-04-2021 15:07,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,10,,,,
7775,heart,01-09-2020 03:31,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,60,,,,
7776,want,04-03-2021 11:01,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,70,,,,
7777,dislike,05-08-2020 06:01,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,10,,,,
7778,interested,03-05-2021 08:21,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,30,,,,
7779,adore,04-04-2021 23:52,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,72,,,,
7780,like,25-03-2021 16:36,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,50,,,,
7781,cherish,11-12-2020 01:27,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,70,,,,
7782,want,20-12-2020 00:50,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,70,,,,
7783,cherish,03-02-2021 17:21,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,70,,,,
7784,love,06-03-2021 13:00,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,65,,,,
7785,love,11-10-2020 15:48,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,65,,,,
7786,dislike,27-12-2020 11:31,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,10,,,,
7787,like,20-03-2021 00:56,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,50,,,,
7788,peeking,12-07-2020 12:14,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,neutral,35,,,,
7789,interested,08-12-2020 03:11,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,30,,,,
7790,worried,10-01-2021 02:32,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,12,,,,
7791,love,09-12-2020 00:03,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,65,,,,
7792,like,02-11-2020 02:34,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,50,,,,
7793,indifferent,17-03-2021 20:04,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,neutral,20,,,,
7794,peeking,20-03-2021 03:55,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,neutral,35,,,,
7795,peeking,29-06-2020 11:04,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,neutral,35,,,,
7796,scared,14-05-2021 23:56,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,15,,,,
7797,hate,04-08-2020 06:54,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,5,,,,
7798,peeking,31-08-2020 12:06,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,neutral,35,,,,
7799,scared,18-08-2020 19:25,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,15,,,,
7800,scared,06-09-2020 03:05,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,15,,,,
7801,peeking,27-06-2020 09:45,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,neutral,35,,,,
7802,disgust,21-07-2020 15:34,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,negative,0,,,,
7803,adore,19-01-2021 14:13,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,72,,,,
7804,love,23-09-2020 22:55,GIF,581634a6-14c7-4c0a-8c7f-34238e58cf6a,veganism,positive,65,,,,
7805,adore,02-02-2021 12:15,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,72,,,,
7806,intrigued,03-08-2020 07:35,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,45,,,,
7807,disgust,17-05-2021 10:11,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,0,,,,
7808,dislike,29-05-2021 21:24,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,10,,,,
7809,intrigued,25-02-2021 14:13,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,45,,,,
7810,heart,21-06-2020 08:05,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,60,,,,
7811,love,01-03-2021 11:04,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,65,,,,
7812,interested,07-12-2020 14:15,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,30,,,,
7813,love,12-09-2020 11:17,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,65,,,,
7814,disgust,14-11-2020 01:49,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,0,,,,
7815,cherish,07-03-2021 16:36,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,70,,,,
7816,adore,19-08-2020 00:26,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,72,,,,
7817,love,06-10-2020 05:24,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,65,,,,
7818,interested,09-02-2021 02:32,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,30,,,,
7819,peeking,24-10-2020 19:08,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,neutral,35,,,,
7820,disgust,07-08-2020 07:47,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,0,,,,
7821,heart,10-11-2020 02:39,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,60,,,,
7822,super love,18-09-2020 12:09,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,75,,,,
7823,disgust,08-09-2020 03:14,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,0,,,,
7824,cherish,19-07-2020 16:42,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,70,,,,
7825,want,29-11-2020 14:45,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,70,,,,
7826,adore,01-03-2021 23:03,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,72,,,,
7827,disgust,18-09-2020 15:59,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,0,,,,
7828,scared,27-03-2021 22:06,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,15,,,,
7829,super love,02-02-2021 03:00,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,75,,,,
7830,like,26-02-2021 21:55,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,50,,,,
7831,adore,10-12-2020 22:30,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,72,,,,
7832,like,08-12-2020 08:15,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,50,,,,
7833,indifferent,25-01-2021 21:20,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,neutral,20,,,,
7834,adore,16-04-2021 15:02,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,72,,,,
7835,scared,10-04-2021 07:07,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,15,,,,
7836,super love,07-07-2020 03:00,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,75,,,,
7837,scared,07-03-2021 16:59,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,15,,,,
7838,like,27-11-2020 11:28,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,positive,50,,,,
7839,scared,26-05-2021 05:10,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,15,,,,
7840,hate,27-01-2021 03:17,photo,1e773c55-ec7e-47f2-916d-98d0b778a048,food,negative,5,,,,
7841,like,12-02-2021 18:29,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,positive,50,,,,
7842,intrigued,03-08-2020 06:22,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,positive,45,,,,
7843,hate,04-12-2020 03:18,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,negative,5,,,,
7844,like,28-12-2020 07:00,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,positive,50,,,,
7845,cherish,09-08-2020 04:02,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,positive,70,,,,
7846,like,20-10-2020 01:06,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,positive,50,,,,
7847,indifferent,18-08-2020 00:25,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,neutral,20,,,,
7848,intrigued,11-10-2020 07:19,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,positive,45,,,,
7849,heart,10-09-2020 08:57,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,positive,60,,,,
7850,peeking,24-02-2021 11:04,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,neutral,35,,,,
7851,interested,05-10-2020 14:40,GIF,c63235b6-aad7-42ff-96ba-978e47a6c5fc,tennis,positive,30,,,,
7852,like,22-11-2020 18:53,GIF,194f1ad7-43bf-4cdd-a01b-e6947df47403,tennis,positive,50,,,,
7853,disgust,23-06-2020 11:23,GIF,194f1ad7-43bf-4cdd-a01b-e6947df47403,tennis,negative,0,,,,
7854,indifferent,12-10-2020 12:08,GIF,194f1ad7-43bf-4cdd-a01b-e6947df47403,tennis,neutral,20,,,,
7855,hate,09-02-2021 19:33,GIF,194f1ad7-43bf-4cdd-a01b-e6947df47403,tennis,negative,5,,,,
7856,worried,01-11-2020 13:30,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,negative,12,,,,
7857,worried,19-10-2020 12:00,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,negative,12,,,,
7858,dislike,14-04-2021 19:39,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,negative,10,,,,
7859,adore,14-01-2021 14:15,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,positive,72,,,,
7860,adore,01-03-2021 23:32,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,positive,72,,,,
7861,peeking,06-06-2021 20:05,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,neutral,35,,,,
7862,like,11-09-2020 22:16,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,positive,50,,,,
7863,scared,17-10-2020 23:12,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,negative,15,,,,
7864,cherish,13-05-2021 12:59,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,positive,70,,,,
7865,disgust,17-07-2020 04:58,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,negative,0,,,,
7866,hate,06-12-2020 03:13,GIF,85e013ce-3474-4c9a-a4ea-7b726a29baae,animals,negative,5,,,,
7867,indifferent,03-04-2021 16:37,photo,212b7926-c743-45d9-85f2-63e0e8f85208,dogs,neutral,20,,,,
7868,like,27-06-2020 19:57,photo,212b7926-c743-45d9-85f2-63e0e8f85208,dogs,positive,50,,,,
7869,scared,23-08-2020 09:06,photo,212b7926-c743-45d9-85f2-63e0e8f85208,dogs,negative,15,,,,
7870,want,13-04-2021 20:04,photo,212b7926-c743-45d9-85f2-63e0e8f85208,dogs,positive,70,,,,
7871,heart,12-08-2020 20:11,photo,212b7926-c743-45d9-85f2-63e0e8f85208,dogs,positive,60,,,,
7872,super love,20-07-2020 01:23,photo,212b7926-c743-45d9-85f2-63e0e8f85208,dogs,positive,75,,,,
7873,scared,16-02-2021 14:05,photo,212b7926-c743-45d9-85f2-63e0e8f85208,dogs,negative,15,,,,
7874,heart,29-06-2020 08:19,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,positive,60,,,,
7875,want,07-07-2020 18:42,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,positive,70,,,,
7876,like,12-02-2021 10:02,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,positive,50,,,,
7877,super love,30-09-2020 23:19,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,positive,75,,,,
7878,intrigued,08-03-2021 12:03,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,positive,45,,,,
7879,interested,08-06-2021 02:46,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,positive,30,,,,
7880,dislike,25-01-2021 21:20,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,negative,10,,,,
7881,intrigued,12-05-2021 18:45,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,positive,45,,,,
7882,interested,26-11-2020 16:54,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,positive,30,,,,
7883,love,01-04-2021 07:00,GIF,cb14a57b-9a8e-4694-9516-5a7d2ec41438,soccer,positive,65,,,,
